GEOID,n_nodes,n_edges_dir,orientation_entropy,link_node_ratio,dead_end_frac,n_intersections,circuity_avg,reach_mean,reach_gini,n_reach_sources,uoi_connectivity,uoi_efficiency,uoi_accessibility,uoi_equity,status
06075016602,100,284,2.162131853177053,1.42,0.09,75,1.0013846905140777,99.0,0.0,100,1.42,0.9986172242024522,99.0,1.0,ok
06075016700,448,1286,3.289031352873209,1.4352678571428572,0.10267857142857142,378,1.0245726770010377,336.33035714285717,0.11260363414592536,448,1.4352678571428572,0.9760166579173642,336.33035714285717,0.8873963658540747,ok
06075016801,205,566,2.5105148309355,1.3804878048780487,0.17073170731707318,146,1.1050290931025735,190.69268292682926,0.04306638748368458,205,1.3804878048780487,0.9049535494059393,190.69268292682926,0.9569336125163154,ok
06075016802,271,796,2.2324545594222576,1.4686346863468636,0.16236162361623616,208,1.013148710239558,240.47970479704796,0.06619191249454312,271,1.4686346863468636,0.9870219345820921,240.47970479704796,0.9338080875054569,ok
06075016900,236,606,2.8281441335780166,1.2838983050847457,0.3008474576271186,155,1.025845999024808,202.6271186440678,0.08096782425621502,236,1.2838983050847457,0.9748051861104124,202.6271186440678,0.9190321757437849,ok
06075017000,282,744,3.331905321260973,1.3191489361702127,0.22695035460992907,204,1.1016143773215847,176.645390070922,0.15629688540662048,282,1.3191489361702127,0.9077586681751146,176.645390070922,0.8437031145933795,ok
06075017101,193,538,3.0602019782399714,1.3937823834196892,0.13989637305699482,145,1.0834517609987744,154.08290155440415,0.10157308194501405,193,1.3937823834196892,0.9229760253268269,154.08290155440415,0.898426918054986,ok
06075017102,252,734,2.3519141423454903,1.4563492063492063,0.06349206349206349,207,1.0201647115655497,229.9047619047619,0.05245977498980828,252,1.4563492063492063,0.9802338668090128,229.9047619047619,0.9475402250101918,ok
06075017602,317,754,2.426630040325363,1.1892744479495267,0.3911671924290221,181,1.0191071002928018,202.77602523659306,0.20647718282985125,317,1.1892744479495267,0.981251136129547,202.77602523659306,0.7935228171701487,ok
06075017603,201,506,2.11809725507904,1.2587064676616915,0.3383084577114428,122,1.00891760337279,180.11940298507463,0.059856226545979725,201,1.2587064676616915,0.9911612173848701,180.11940298507463,0.9401437734540202,ok
06075017604,136,304,2.4085430024195036,1.1176470588235294,0.4117647058823529,70,1.0125980229363447,101.57352941176471,0.13165565198136592,136,1.1176470588235294,0.9875587126865873,101.57352941176471,0.8683443480186341,ok
06075017700,774,2142,3.1880134949180516,1.3837209302325582,0.2351421188630491,551,1.0397168260119438,398.188,0.17650613278150012,500,1.3837209302325582,0.9618003431143014,398.188,0.8234938672184999,ok
06075017801,299,818,2.8319587114799907,1.3678929765886287,0.22408026755852842,214,1.0495352924248391,282.96321070234114,0.028883203409832747,299,1.3678929765886287,0.9528026424815186,282.96321070234114,0.9711167965901673,ok
06075017803,154,414,2.117411131997577,1.344155844155844,0.2532467532467532,102,1.018929796387968,143.87012987012986,0.03301676658780816,154,1.344155844155844,0.9814218835732621,143.87012987012986,0.9669832334121918,ok
06075017804,326,860,2.3774516848400578,1.3190184049079754,0.2822085889570552,214,1.0270209318686931,274.4907975460123,0.08995226346115837,326,1.3190184049079754,0.9736899891421611,274.4907975460123,0.9100477365388416,ok
06075017903,696,1772,3.09761479552764,1.2729885057471264,0.3132183908045977,478,1.1279356673247427,152.702,0.3422988304016975,500,1.2729885057471264,0.8865753863177475,152.702,0.6577011695983025,ok
06075018000,750,2056,2.582631018964561,1.3706666666666667,0.256,525,1.028235520170101,385.98,0.12881627027307116,500,1.3706666666666667,0.9725398319585089,385.98,0.8711837297269288,ok
06075020101,311,808,3.22804208493396,1.2990353697749195,0.3311897106109325,191,1.0405145542386742,263.3504823151125,0.08924500075024965,311,1.2990353697749195,0.96106296247983,263.3504823151125,0.9107549992497503,ok
